duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
214547,177.0,2.14e-06,0.1159999999999999,-1.4824e+16,0.0353,92934.0,618.0,1
190448,0.908,0.0834,239.0,-4795.0,0.0563,110012.0,637.0,1
456320,956.0,0.0203,125.0,-3634.0,149.0,122897.0,228.0,1
352280,326.0,0.0157,0.119,-12.02,0.0328,1.06062999999999e+16,0.3229999999999999,1
273693,647.0,0.000297,0.0633,-7787000000000000.0,0.0487,143995.0,0.3,1
243333,0.67,0.0702,0.22,-4547.0,0.0293,1.10832e+16,934.0,1
207173,836.0,4.03e-05,0.1969999999999999,-6165.0,0.0454,9001100000000000.0,0.41,1
200467,0.7829999999999999,0.0,163.0,-4977.0,0.119,1.1995296059529e+16,0.8140000000000001,1
227296,0.86,0.0969,0.3879999999999999,-2842.0,0.0561,127788.0,342.0,1
173773,0.8540000000000001,0.0,0.0794,-5151.0,0.0945,94.96,0.4039999999999999,1
310933,434.0,0.0,0.1169999999999999,-1.4274e+16,0.0294,83876.0,0.37,1
117013,349.0,0.0,0.38,-1.2414e+16,0.0368,1.24451e+16,609.0,1
206173,0.56,0.0,0.1169999999999999,-5.17899999999999e+16,0.0267,1.72224e+16,0.34,1
233947,536.0,0.00105,113.0,-6669.0,0.0582,119958.0,0.417,1
217400,243.0,0.0022,249.0,-17085.0,0.0366,110535.0,0.4679999999999999,1
241013,179.0,0.000346,0.1169999999999999,-17077.0,0.0337,1.21497999999999e+16,0.1669999999999999,1
267067,0.1639999999999999,0.0,0.1009999999999999,-1.0879e+16,0.0324,125242.0,0.17,1
-1,0.8370000000000001,0.0,0.148,-4834.0,0.0302,99947.0,569.0,1
-1,711.0,0.000275,0.0948,-5502999999999990.0,0.0352,112309.0,0.7190000000000001,1
224960,951.0,0.00126,376.0,-3888.0,0.0966,158075.0,628.0,1
220427,816.0,0.0,195.0,-4.76399999999999e+16,0.0765,91.91,963.0,1
218973,866.0,0.0298,0.32,-4812.0,0.0399,137946.0,321.0,1
175547,639.0,4.61e-05,0.1939999999999999,-6.04,0.0328,1.1995296059529e+16,0.18,1
207967,0.8540000000000001,0.0,344.0,-5.03,0.1639999999999999,1.86060999999999e+16,0.5589999999999999,1
141133,889.0,0.0,345.0,-4137.0,0.0461,144499.0,852.0,1
-1,0.61,0.0117,341.0,-9899.0,111.0,155966.0,128.0,1
285467,531.0,3.74e-06,0.8009999999999999,-9172.0,0.0338,152023.0,0.3379999999999999,1
212827,0.8440000000000001,0.0,76.0,-3925.0,0.0626,81945.0,562.0,1
205440,958.0,2.19e-06,0.432,-5417000000000000.0,0.0898,127491.0,359.0,1
185907,0.7659999999999999,0.0802,396.0,-5.411e+16,0.0282,8806200000000000.0,643.0,1
349187,424.0,0.0,0.2339999999999999,-10583.0,0.0318,113311.0,0.4039999999999999,1
234973,0.5379999999999999,0.000453,0.0685,-10.3,0.0456,150785.0,369.0,1
268530,317.0,0.0,126.0,-6856.0,0.0279,137748.0,297.0,1
163600,583.0,0.0,0.119,-7811.0,38.0,1.1995296059529e+16,0.7440000000000001,1
563893,762.0,281.0,368.0,-8323.0,32.0,89259.0,0.1669999999999999,1
163453,0.969,0.00022,0.0608,-7463999999999990.0,0.0854,142489.0,494.0,1
262133,747.0,4.03e-05,0.16,-4.86,0.0401,2.02777e+16,255.0,1
-1,298.0,0.00295,0.1,-13477.0,0.0356,1.28022e+16,0.0556,1
220462,573.0,0.000233,0.1159999999999999,-8369.0,0.0361,9698200000000000.0,0.4379999999999999,1
177048,0.91,0.0,156.0,-3.268e+16,133.0,162253.0,644.0,1
269613,875.0,0.00984,0.0254,-4349.0,0.0409,92022.0,0.83,1
208280,0.8370000000000001,0.0,0.372,-5608.0,0.0452,140495.0,0.432,1
213600,0.7140000000000001,0.0,0.0429,-7.13899999999999e+16,0.0445,146338.0,955.0,1
168613,0.939,0.0,0.24,-1.35199999999999e+16,0.108,1.05092e+16,0.7140000000000001,1
298253,867.0,581.0,196.0,-7426.0,0.0399,87309.0,0.4529999999999999,1
146400,373.0,0.0,303.0,-7185.0,61.0,138513.0,0.5379999999999999,1
179107,0.26,21000000000.0,105.0,-10577.0,0.0314,144184.0,0.49,1
244360,0.69,0.0,363.0,-4894.0,0.0357,102036.0,307.0,1
297320,0.356,515.0,0.0944,-13692.0,0.0337,179937.0,0.0839,1
206360,498.0,0.0,132.0,-6901.0,0.0277,116271.0,111.0,1
204333,648.0,1.37e-06,289.0,-9137.0,0.027,1.21341e+16,0.6,1
176147,637.0,0.0,0.176,-5.01399999999999e+16,0.0402,170157.0,345.0,1
194533,0.63,0.19,337.0,-12.33,0.0403,125154.0,0.3229999999999999,1
222000,754.0,0.0719,0.8809999999999999,-8136000000000000.0,0.0372,144085.0,924.0,1
214106,731.0,0.00347,0.178,-4565.0,0.0446,9002799999999990.0,636.0,1
213920,871.0,0.00524,96.0,-5337999999999990.0,0.0392,104976.0,573.0,1
185524,0.75,0.0119,271.0,-6619.0,0.103,1.65035999999999e+16,667.0,1
233901,452.0,0.0996,0.38,-12365.0,0.0349,1.1995296059529e+16,271.0,1
193213,0.8370000000000001,283000000000.0,0.0635,-4166.0,0.0721,131668.0,0.54,1
299733,645.0,1.38e-06,0.0424,-6595.0,0.0268,8951799999999990.0,588.0,1
250907,344.0,0.0112,106.0,-11342.0,0.0349,144171.0,547.0,1
286933,687.0,0.000446,0.2739999999999999,-7792000000000000.0,0.0234,100.06,0.4029999999999999,1
236973,0.901,0.00153,0.0368,-4.45,0.0264,9786200000000000.0,919.0,1
242200,977.0,2.75e-05,147.0,-6.07799999999999e+16,0.0476,114316.0,0.8420000000000001,1
246333,591.0,0.0,0.173,-5916.0,0.0279999999999999,1.07967e+16,332.0,1
260853,691.0,9.63e-05,115.0,-5872999999999990.0,0.0283,109005.0,396.0,1
193000,887.0,0.0,337.0,-4404.0,0.0598,1.19973999999999e+16,903.0,1
134200,873.0,0.0,165.0,-3.90199999999999e+16,0.0386,142726.0,0.8640000000000001,1
239333,0.78,2.14e-05,156.0,-4939.0,0.0356,145125.0,166.0,1
165613,772.0,2.47e-06,0.1989999999999999,-6205.0,0.0322,79462.0,935.0,1
234427,792.0,3.29e-06,171.0,-5426.0,0.0297,119531.0,611.0,1
141091,0.6559999999999999,7.84e-06,0.0796,-8023.0,304.0,84712.0,475.0,1
-1,0.471,1.76e-06,131.0,-10036.0,0.0277,81204.0,423.0,1
191360,0.417,0.0,135.0,-8699.0,0.0354,130032.0,721.0,1
281000,748.0,0.000174,0.0916,-8142000000000000.0,0.0521,85.02,0.417,1
218853,601.0,5.69e-06,0.181,-5996.0,0.0289999999999999,1.1995296059529e+16,531.0,1
238200,935.0,1.17e-06,255.0,-3633.0,0.0493,148062.0,501.0,1
192333,0.901,0.0651,0.108,-5518.0,67.0,1.31182e+16,0.8170000000000001,1
263253,633.0,0.0,113.0,-6.837e+16,0.0433,155715.0,161.0,1
115827,235.0,0.0198,105.0,-16982.0,0.0426,79578.0,0.8340000000000001,1
145747,715.0,0.0,311.0,-5.54899999999999e+16,0.0476,130726.0,866.0,1
270800,563.0,3.69e-06,0.1009999999999999,-7274.0,0.0251,85711.0,209.0,1
220893,779.0,61.0,159.0,-9375.0,0.0347,128211.0,0.918,1
-1,0.6659999999999999,0.3429999999999999,129.0,-8362.0,0.0289999999999999,77979.0,185.0,1
-1,762.0,331000000000.0,0.0865,-3.85699999999999e+16,0.0438,1.67964e+16,743.0,1
210653,797.0,3.57e-06,0.1119999999999999,-6103.0,0.0371,1.1995296059529e+16,0.497,1
328293,545.0,0.0977,0.0649,-9361.0,0.0297,9740899999999990.0,0.346,1
248960,721.0,0.0,0.0478,-5675.0,0.0322,93947.0,0.472,1
214240,129.0,0.0,107.0,-11.89,0.0405,1.39742e+16,368.0,1
313533,0.6940000000000001,0.0,0.0344,-5184.0,0.0326,96458.0,431.0,1
205040,0.6990000000000001,6.45e-06,111.0,-5.55,0.0289,85955.0,364.0,1
234040,615.0,1.93e-06,0.16,-10793.0,0.0384,143928.0,591.0,1
215653,871.0,2.18e-06,266.0,-4558.0,0.103,86965.0,395.0,1
212613,777.0,0.00829,0.0755,-5496.0,0.0375,143003.0,0.94,1
259741,461.0,0.0184,0.0993,-1.20629999999999e+16,0.0645,96346.0,171.0,1
272074,828.0,0.144,128.0,-5.45299999999999e+16,0.0284,81861.0,0.5539999999999999,1
197320,0.6709999999999999,0.0,0.0844,-6.95299999999999e+16,0.0351,1.1995296059529e+16,257.0,1
213267,493.0,0.0,0.241,-8786.0,0.0327,127671.0,467.0,1
260840,289.0,0.00011,124.0,-9.83,0.0268,108098.0,0.432,1
160080,608.0,0.0,0.2339999999999999,-13083.0,106.0,1.71992e+16,938.0,1
-1,701.0,4.72e-06,111.0,-10.36,0.036,108287.0,0.933,1
